Piege;abat;abov;abpa;amlu;amsi;amti;babu;caau;cacr;cacv;cait;cane;capr;cavi;dygl;lema;lias;mela;nebr;nobi;noru;plli;pocu;ptma;ptme;ptni;ptob;ptst;RS_all;Abdce_all;RS_brachypterous;Abdce_brachypterous;RS_macropterous-di_polymorphic;Abdce_macropterous-di_polymorphic;RS_open_generalist;Abdce_open_generalist;RS_woodland;Abdce_woodland
245_2_S;6;0;2;0;0;0;0;2;2;1;0;0;9;22;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;45;7;44;1;1;3;4;5;41
245_2_W;2;0;0;0;0;0;0;0;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;15;3;15;0;0;0;0;3;15
255_1_E;10;0;3;0;0;0;0;1;2;0;0;23;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;41;6;41;0;0;1;1;5;40
255_1_N;6;1;8;0;0;0;0;0;1;0;0;9;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;30;7;30;0;0;0;0;7;30
255_1_S;5;0;5;0;0;0;0;0;0;1;0;8;1;2;0;0;7;30;3;1;2;0;0;1;0;0;0;1;13;67;7;23;6;44;4;35;9;32
255_1_W;1;0;8;0;0;0;0;0;0;5;0;31;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;52;5;51;1;1;1;5;5;47
45_4_W;24;0;8;0;0;0;0;1;0;0;2;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;44;7;44;0;0;1;1;6;43
50_3_N;5;0;0;0;0;0;0;12;0;0;0;2;3;7;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;35;5;29;1;6;1;12;5;23
50_3_S;5;0;5;1;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;16;4;15;1;1;2;4;3;12
50_3_W;7;0;1;0;1;0;0;7;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;19;5;18;1;1;2;8;4;11
61_3_E;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;3;2;2;1;1;1;1;2;2
61_4_E;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;5;3;4;1;1;1;1;3;4
61_4_N;4;0;2;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;11;4;10;1;1;2;3;3;8
61_4_S;4;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;9;4;8;1;1;2;3;3;6
61_4_W;2;0;5;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9;4;9;0;0;1;1;3;8
75_4_N;10;1;7;0;0;0;0;0;0;1;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;33;7;33;0;0;1;1;6;32
75_4_S;19;5;20;0;0;0;0;1;0;0;1;12;4;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;66;8;65;1;1;1;1;8;65
