stand;plot;mixture_stand;mixture_plot;cat_mixture_plot;G_all_plot;AEGCAU;ANTTRI;CARCAR;CERBRA;COCCOC;COLOEN;COLPAL;CORCOR;CUCCAN;DENMAJ;DENMED;DENMIN;ERIRUB;FICHYP;FRICOE;GARGLA;ORIORI;PARATE;PARCAE;PARCRI;PARMAJ;PARPAL;PHOPHO;PHYBON;PHYCOL;PHYSIB;PHYTRO;PICVIR;PRUMOD;REGIGN;REGREG;SITEUR;STRTUR;STUVUL;SYLATR;TROTRO;TURMER;TURPHI;TURVIS;SR_all;SR_Generalist1;SR_Oak;SR_Pine;SR_Generalist2;SR_Oak_Mixed;SR_Pine_Mixed;Abdce_all;Abdce_Generalist1;Abdce_Oak;Abdce_Pine;Abdce_Generalist2;Abdce_Oak_Mixed;Abdce_Pine_Mixed
245;245_1;28;7;pine;31;0;0;0;0;0;0;1;0;0;1;0;0;0;0;6;0;1;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;9;8;1;0;5;3;0;16;15;1;0;12;3;0
245;245_2;28;21;mixed;31;0;1;0;1;0;0;0;0;0;1;0;0;0;0;4;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;2;13;10;0;3;8;2;0;17;14;0;3;12;2;0
245;245_3;28;27;mixed;31;0;0;0;0;0;0;0;0;0;2;0;0;1;0;4;0;0;0;0;2;1;0;0;0;1;2;1;0;1;0;0;0;0;0;1;2;0;0;1;12;10;0;2;6;4;0;19;16;0;3;10;6;0
255;255_1;68;52;mixed;29;0;0;0;2;0;0;0;0;0;1;0;0;1;0;4;0;0;0;0;0;2;1;1;1;2;1;1;0;0;0;0;0;1;0;1;2;0;1;0;15;14;1;0;9;5;0;22;21;1;0;15;6;0
255;255_2;68;45;mixed;29;0;1;0;2;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;1;1;0;1;0;2;4;0;0;0;0;0;1;0;0;1;1;0;0;0;13;11;1;1;7;4;0;20;18;1;1;11;7;0
255;255_3;68;30;mixed;29;0;1;0;0;0;0;0;0;0;2;0;0;1;0;7;1;0;0;1;3;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;12;10;1;1;7;3;0;21;17;1;3;14;3;0
45;45_1;100;47;mixed;27;0;0;0;1;1;0;1;0;0;1;0;0;0;0;2;0;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;13;9;3;1;8;1;0;15;11;3;1;10;1;0
45;45_2;100;73;mixed;27;0;0;0;1;0;0;2;0;0;0;1;0;1;0;4;0;0;0;1;0;3;0;0;1;1;0;0;1;0;1;0;1;0;2;2;1;0;0;1;16;13;3;0;9;3;1;24;21;3;0;16;4;1
45;45_3;100;38;mixed;27;0;1;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;2;0;1;0;2;1;1;0;0;0;0;1;0;0;2;1;1;0;0;14;12;2;0;8;4;0;18;16;2;0;11;5;0
50;50_1;79;57;mixed;25;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2;0;0;0;1;0;3;0;0;3;1;1;1;0;0;0;0;3;0;0;3;2;0;1;0;14;11;3;0;7;4;0;24;19;5;0;12;7;0
50;50_2;79;63;mixed;25;0;0;0;1;0;0;2;0;0;3;0;0;1;0;6;0;0;0;0;0;2;1;0;2;2;0;0;0;1;0;2;2;0;1;1;2;0;0;0;15;11;2;2;9;2;0;29;23;3;3;20;3;0
