parcelle;nichoir;n_nichoir;plot;plot_Ptrap;Nb_sessions_OK;MEL_cercle;MEL_cercle_cat;MEL_parcelle;MEL_cat;G_all;Hmoy;BOULV;CHAR;CHAT;CHP;CHS;CHSP;CH_tot;AUB;GEN;NEF;POM;PS;TREM;G_Ch_PS;G_all_cercle;ALT;latitude;longitude;nichoir selec polytrap;veg1;taux_veg1;veg2;taux_veg2;hmax;hinter;hmin;hmoy;hsd;RS_all;Abdce_all;RS_brachypterous;Abdce_brachypterous;RS_macropterous-di_polymorphic;Abdce_macropterous-di_polymorphic;RS_open_generalist;Abdce_open_generalist;RS_woodland;Abdce_woodland
139;1392;2;139_2;139_2_N;5;4;Pine;2;Pine;18.9;20.5;1.6;0;0;0.7;0;0;0.7;0;0;0;0;15.3;0;16;17.6;0;47.8;2.5;1;FA;75;MOL;25;19.7;19.6;19.3;19.5;0.2;3;4;3;4;0;0;0;0;3;4
139;1392;2;139_2;139_2_S;6;0;Pine;2;Pine;18.9;20.5;0.7;0;0;0;0;0;0;0;0;0;0;23.9;0;23.9;24.6;0;47.8;2.5;1;FA;75;MOL;25;21.4;21.1;20.3;20.9;0.6;5;25;5;25;0;0;2;3;3;22
139;1394;4;139_4;139_4_E;5;0;Pine;2;Pine;18.9;19.6;0;0;0;0;0;0;0;0;0;0;0;22.7;0;22.7;22.7;0;47.8;2.5;1;FA;60;MOL;40;20.9;20.4;19.9;20.4;0.5;3;7;3;7;0;0;0;0;3;7
139;1394;4;139_4;139_4_S;6;4;Pine;2;Pine;18.9;19.6;0.7;0;0;0.7;0;0;0.7;0;0;0;0;16.9;0;17.6;18.3;0;47.8;2.5;1;MOL;50;FA;50;19.4;19.3;19;19.2;0.2;3;5;2;4;1;1;1;1;2;4
14;141;1;14_1;14_1_E;5;100;Oak;100;Oak;25.29375;25.1;0;0;0;0;19;0;19;0;0;0;0;0;0;19;19;0;47.8;2.6;1;FA;80;NA;NA;26.8;26.4;25.9;26.4;0.5;7;20;6;19;1;1;1;1;6;19
14;141;1;14_1;14_1_N;6;100;Oak;100;Oak;25.29375;25.1;0;0;0;0;17.4;0.7;18.1;0;0;0;0;0;0;18.1;18.1;0;47.8;2.6;1;BRYO;70;FA;30;24.9;24.2;24;24.4;0.5;7;18;6;16;1;2;0;0;7;18
14;141;1;14_1;14_1_W;5;100;Oak;100;Oak;25.29375;25.1;0;0;0;0;21.5;0;21.5;0;0;0;0;0;0;21.5;21.5;0;47.8;2.6;1;FA;50;BRYO;50;26.8;24.8;24.4;25.3;1.3;4;5;3;4;1;1;2;2;2;3
14;142;2;14_2;14_2_N;5;96;Oak;100;Oak;25.29375;24.7;0;0;0;0;31;0;31;0;0;0;0;1.4;0;32.4;32.4;0;47.8;2.6;1;FA;90;NA;NA;25.7;24.3;24.3;24.8;0.8;7;20;5;17;2;3;0;0;7;20
14;142;2;14_2;14_2_S;6;100;Oak;100;Oak;25.29375;24.7;0;0;0;0;37.8;0;37.8;0;0;0;0;0;0;37.8;37.8;0;47.8;2.6;1;FA;60;NA;NA;23.9;23.5;22.7;23.4;0.6;5;16;5;16;0;0;0;0;5;16
14;142;2;14_2;14_2_W;6;100;Oak;100;Oak;25.29375;24.7;0;0;0;0;18.1;0;18.1;0;0;0.2;0;0;0;18.1;18.3;0;47.8;2.6;1;BRYO;60;MOL;30;23.9;23.5;22.7;23.4;0.6;6;10;5;9;1;1;0;0;6;10
15;152;2;15_2;15_2_S;5;100;Oak;81;Oak;23.925;27.9;0;0;0;0;29.5;0;29.5;0;0;0;0;0;0;29.5;29.5;0;47.8;2.6;1;MOL;70;NA;NA;31.4;30.3;29.6;30.4;0.9;7;17;6;16;1;1;1;1;6;16
15;152;2;15_2;15_2_W;5;100;Oak;81;Oak;23.925;27.9;0;0;0;0;20.8;0;20.8;0;0;0;0;0;0;20.8;20.8;0;47.8;2.6;1;MOL;50;FA;50;31.3;NA;28.5;29.9;2;5;15;5;15;0;0;1;1;4;14
166;1662;2;166_2;166_2_E;5;69;Mixed;66;Mixed;20.5875;25.1;3.8;0;0;0;7.6;0;7.6;0;0;0;0;3.4;0;11;14.8;0;47.8;2.5;1;FA;90;MOL;10;26.2;26.1;25.4;25.9;0.4;4;11;4;11;0;0;0;0;4;11
166;1662;2;166_2;166_2_S;6;21;Pine;66;Mixed;20.5875;25.1;0;0;0;0;5.4;0;5.4;0;0;0;0;20.1;0;25.5;25.5;0.2;47.8;2.5;1;FA;70;MOL;30;28.1;27.5;26.9;27.5;0.6;5;16;5;16;0;0;0;0;5;16
166;1662;2;166_2;166_2_W;6;81;Oak;66;Mixed;20.5875;25.1;0;0;0;0;21.1;0;21.1;0;0;0;0;5;0;26.1;26.1;0.4;47.8;2.5;1;FA;70;MOL;30;24.9;24.7;23.3;24.3;0.9;5;19;5;19;0;0;0;0;5;19
166;1664;4;166_4;166_4_E;6;68;Mixed;66;Mixed;20.5875;26.6;0;0;0;0;21.9;0;21.9;0;0;0;0;10.4;0;32.3;32.3;1.9;47.8;2.5;1;FA;70;MOL;10;26.5;26.4;26;26.3;0.3;5;20;5;20;0;0;0;0;5;20
166;1664;4;166_4;166_4_N;6;100;Oak;66;Mixed;20.5875;26.6;0;0;0;0;20;0;20;0;0;0;0;0;0;20;20;0;47.8;2.5;1;FA;90;NA;NA;27.8;27.8;27.6;27.7;0.1;6;15;6;15;0;0;0;0;6;15
