classement systematique;FD Montargis;F Orléans et alentours;GNB;Vallees2007;n FE;Famille;Sous Famille;Tribu;Genre SousGenre;Genre;(SousGenre);Espèce SousEspèce;Espèce;SousEspèce;Auteur;France;code6;code4;code_sp;Genre SousGenre Espèce;Synonymous;Entomotec validation for the valley reference collection;J. COULON validation for the valley reference collection;altitude (Coulon et al, 2000);(2)altitude classes desender 1986;Altitude Jeannel;"altitude I (lowland-mountain;lowland-atpine)";altitude II (lowland-alpine);humidity (Coulon et al, 2000);humidity Jeannel;Freude Harde lohse  1976;humidity;habitat type desender etal 2008;consistensy (desender 2008);HK desender 1995;(10)habitat preference codes desender 1986;habitat type Jeannel;Habitat type Freude Harde lohse  1976;"habitat type 
(Coulon et al, 2000)";closeness 2;closeness 1;closeness.wing;RLK desender 1995;redlist categories desender etal 2008;(7)mean beetle size(mm) desender 1986;mean-beetle-size(mm)-desender-etal-2008 ou Hurka;Beetle size Ribera et al 1999;mean-beetle-size(mm);(8)wing developmental type desender 1986;Wing development Ribera et al.1999;Wing development Barbaro et al 2009;Wing morphology Cole et al.1999;wing-developmental-type-desender-etal-2008;Wing Hurka et al. 1996;Wing Turin et al. 2000;Wing Jeannel;hing wing development Baguette 1993;wing type;wing1;(9)main reprodutive period desender 1986;breeding season Ribera et al.1999;breeding season Cole et al.2002;Breeding season Barbaro et al 2009;Mating and ovoposition Turin et al 2000;Reproduction Luff 1998;breeding season den boer 1990;reproductive season butterfield 1996;Reproductive seasons Baguette 1993;Breeding season;overwintering Ribera et al.1999;overwintering Cole et al.2002;Overwintering Barbaro et al 2009;Overwintering Turin et al 2000;overwintering butterfield 1996;daily activity Ribera et al.l999.;daily activity Cole et al.2002.;Daily activity Barbaro et al 2009;Daily activity Turin at 2009;Daily activity Greenslade 1963;daily activity Luff 1978;duration of the life cycle Ribera et al.1999;life cycle Cole et al.1999;food of the adult Ribera et al 1999.;Feeding group Purtauf et al 2005;food of the adults Cole et al2002.;Diet Barbaro et al 2009;Diet Turin et al 2000;Diet Larochelle 1990;Diet Zetto ;Diet Freude Harde lohse  1976;Diet coleotteri carabidi 2005;Diet;Adult activity period Barbaro et al 2009;(3)soil type affinity desender 1986;(4)calc soil affinity desender 1986;(5)acid sand clay affinity desender 1986;(6)woodland cover desender 1986;(7)woodland type desender 1986;(8)river rivulets affinity desender 1986;(10)aridity index desender 1986;(11)minimal temp reaction desender 1986;(4)total distribution area desender 1986;Coulon observations;desender observations;Cole observation;Turin observations;Jeannel observations;larochelle observations;zetto observations;Luff observations;den boer observations;butterfield observations;loreau observations;general observations;closeness 1;closeness 2;humidity 1;humidity 2;;;
8;Fmontargis;FD Orléans;GNB;V;4354;Carabidae;Carabinae;;Carabus (Megodontus);Carabus;(Megodontus);violaceus;violaceus;purpurascens;Linnaeus, 1758;Présent;CaMevi;Cavi;cavi;Carabus (Megodontus) violaceus;Carabus purpurascens;yes;;<=subalpine;-4;;lowland-alpine;lowland-alpine;indifferent;;;indifferent;woodland stenotopic;;heathland and bogs;woodland (eurytopic);;;;woodland stenotopic;woodland;woodland-brachypterous;no risk;safe;28.5;28.5;;>11,9;constantly brachypterous;apterous or brachipterous;NA; apterous or brachypterous;brachypter;;;;brachypterous;brachypterous;brachypterous;Summer-Autumn;autumn;autumn/winter;NA;summer/spring;;NA;;autumn;spring/autumn;adult and larvae or only larvae;adult and larvae or only larvae;NA;NA;;nocturnal;nocturnal;NA;mainly nocturnal;nocturnal;NA;one year;1 year;generalist predator;NA;generalist predators;NA;omnivorous (snail, carrion, mushroom);carnivorous;NA;;;carnivorous;NA;AL;*;;;;;-2;-2;paleartic;sous espece purpurascens;;;;;;;;;;polyphages;;forest;forest-stenotopic;eurytopic;eurytopic;;;
9;Fmontargis;FD Orléans;GNB;;4389;Carabidae;Carabinae;;Carabus (Mesocarabus);Carabus;(Mesocarabus);problematicus;problematicus;;Herbst, 1786;Présent;CaMepr;Capr;capr;Carabus (Mesocarabus) problematicus;;;;<=alpine;;;lowland-alpine;lowland-alpine;indifferent;;;indifferent;woodland eurytopic;;heathland and bogs;woodland (eurytopic);;;;woodland eurytopic;woodland;woodland-brachypterous;no risk;safe;25;20-28mm;;>11,9;constantly brachypterous;apterous or brachipterous;brachypterous; apterous or brachypterous;brachypter;;;;brachypterous;brachypterous;brachypterous;Summer-Autumn;summer;spring/summer;autumn breeder;autumn;;autumn;;autumn;autumn;adult and larvae or only larvae;adult and larvae or only larvae;imago and larvae;larvae;;nocturnal;nocturnal;nocturnal;mainly nocturnal;nocturnal;NA;two years;2 years;generalist predator;NA;generalist predators;generalist predators;predators (snail, insect);essentially carnivorous in field - omnivorous in captivity;NA;;;carnivorous;late spring;;;;;;;;;entirely european;;;;;;;;;;;polyphages;;forest;forest-eurytopic;eurytopic;eurytopic;;;
10;Fmontargis;;GNB;V;4420;Carabidae;Carabinae;;Carabus (Morphocarabus);Carabus;(Morphocarabus);monilis;monilis;;Fabricius, 1792;Présent;CaMomo;Camo;camo;Carabus (Morphocarabus) monilis;;yes;;<=mountain;-4;;lowland-mountain;lowland-alpine;indifferent;;thermophilous;hygrophilous;moist grassland;moist;moist and grasslandss;wet grassland;;;;openland;openland;openland-brachypterous;near threatened;endangered;24.5;24.5;;>11,9;constantly brachypterous;NA;NA;NA;brachypter;;;;NA;brachypterous;brachypterous;mainly autumn;NA;NA;NA;autumn/spring;;NA;;NA;spring/autumn;NA;NA;NA;imago;;NA;NA;NA;NA;NA;NA;NA;NA;NA;carnivorous;NA;NA;NA;essentially carnivorous in field - omnivorous in captivity;NA;;;carnivorous;NA;AL;*;;;;;-2;;entirely european;;;;;;;;;;;polyphages;;open-habitat;open-stenotopic;hygrophilous;hygrophilous-eurytopic;;;
11;;FD Orléans;GNB;V;4557;Carabidae;Carabinae;;Carabus (Procrustes);Carabus;(Procrustes);coriaceus;coriaceus;;Linnaeus, 1758;Présent;CaPrco;Cacr;cacr;Carabus (Procrustes) coriaceus;;yes;;<= hill ;-3;;lowland-hill ;lowland-hill ;indifferent;;;indifferent;woodland stenotopic;;woodland (eurytopic);woodland (eurytopic);;;;woodland stenotopic;woodland;woodland-brachypterous;vulnerable;endangered;35;35;;>11,9;constantly brachypterous;NA;NA;NA;brachypter;;;;brachypterous;brachypterous;brachypterous;Summer-Autumn;NA;NA;NA;autumn;;NA;;autumn;autumn;NA;NA;NA;lavre/imago;;NA;NA;NA;mainly nocturnal;NA;NA;NA;NA;NA;NA;NA;NA;predator (snail and worm);predator;NA;;;carnivorous;NA;SL;;;2;;;-2;-3;euro-mediterranean;;;;;;;;;;;polyphages;;forest;forest-stenotopic;eurytopic;eurytopic;;;
5;Fmontargis;FD Orléans;GNB;V;4568;Carabidae;Carabinae;;Carabus (Tachypus);Carabus;(Tachypus);auratus;auratus;;Linnaeus, 1761;Présent;CaTaau;Caau;caau;Carabus (Tachypus) auratus;;yes;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;thermophilous;xerophilous;dry habitat eurytopic;dry;other dry habitats (eurytopic);different dry habitats (eurytopic);;;;generalist;generalist;generalist-brachypterous;near threatened;endangered;23.5;23.5;;>11,9;constantly brachypterous;NA;NA;NA;brachypter;;;;NA;brachypterous;brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;larvae;;NA;NA;NA;mainly diurnal;NA;NA;NA;NA;NA;carnivorous;NA;NA;predators (slug, worm, insect larva);predator;NA;;;carnivorous;NA;AL;;;;;;-2;;entirely european;;;;;;;;;;;polyphages;;open-habitat;open-eurytopic;eurytopic;eurytopic;;;
12;;FD Orléans;GNB;V;4587;Carabidae;Carabinae;;Carabus (Tomocarabus);Carabus;(Tomocarabus);convexus;convexus;;Fabricius, 1775;Présent;CaToco;Cacv;cacv;Carabus (Tomocarabus) convexus;;yes;;<=mountain;-3;;lowland-mountain;lowland-alpine;indifferent;;hygrophilous (Western area souvent xerophilous);xerophilous;chalk grasslands, stony slopes and other xerothermic habitats;xerophil;calc grasslands, stony slopes and other xerothermic habitats;stony slopes and chalck grasslands;;;;openland;openland;openland-brachypterous;extinct in FL;extinct in the wild;17;17;;>11,9;constantly brachypterous;NA;NA;NA;brachypter;;;;NA;brachypterous;brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;larvae;;NA;NA;NA;mainly nocturnal;NA;NA;NA;NA;NA;carnivorous;NA;NA;NA;predator (omnivorous in captivity);NA;;;carnivorous;NA;;*;;2;;;-2;-3;paleartic;;;;;;;;;;;polyphages;;eurytopic;eurytopic;eurytopic;eurytopic;;;
110;;;;V;4656;Carabidae;Chlaeniinae;;Chlaeniellus;Chlaeniellus;(..);nigricornis;nigricornis;;(Fabricius, 1787);Présent;Ch..ni;Chni;chni;Chlaeniellus nigricornis;;yes;;<= hill ;;;<= hill ;<= hill ;palustrine;;;palustrine;eutrophic-standing-water;;eutrophic standing water.oligotrophic;2;;;;eutrophic-standing-water;eutrophic-standing-water;;endangered;suspectible;11;11;;11;m;;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;A;;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-stenotopic;;;
1;Fmontargis;;GNB;V;4689;Carabidae;Cicindelinae;;Cicindela (Cicindela);Cicindela;(Cicindela);campestris;campestris;;Linnaeus, 1758;Présent;CiCica;Cica;cica;Cicindela (Cicindela) campestris;;yes;;<=alpine;-4;;lowland-alpine;lowland-alpine;thermophilous;;;xerophilous;dry habitat eurytopic;;other dry habitats (eurytopic);different dry habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;near threatened;near threatened;12.5;12.5;;>11,9;constantly macropterous;macropterous;NA;NA;macropter;;;;macropterous;macropterous;not.brachypterous;Spring;spring;NA;NA;spring;;NA;;spring;spring;adult and larvae or only larvae;NA;NA;lavre/imago;;diurnal;NA;NA;mainly diurnal;NA;NA;one year;NA;generalist predator;NA;NA;NA;predators (ants in larval stage);predator;NA;;;carnivorous;NA;SL;;*;2;5;;-2;;paleartic;;;;;;;;;;;;;open-habitat;open-stenotopic;xerophilous;xerophilous-stenophilous;;;
25;;;;V;4736;Carabidae;Scaritinae;;Clivina (Clivina);Clivina;(Clivina);collaris;collaris;;(Herbst, 1784);Présent;ClClco;Clco;clco;Clivina (Clivina) collaris;;yes;BN det validated by J. coulon; hill ;;; hill ; hill ;ripicolous;;;ripicolous;moist-habitat-eurytopic;;moist habitats-eurytopic;20;;;;moist-habitat-eurytopic;moist-habitat-eurytopic;;no risk;safe;5;5;;5;m;;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;3;2;C;;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-stenotopic;;;
24;;FD Orléans;;V;4737;Carabidae;Scaritinae;;Clivina (Clivina);Clivina;(Clivina);fossor;fossor;;(Linnaeus, 1758);Présent;ClClfo;Clfo;clfo;Clivina (Clivina) fossor;;yes;BN det validated by J. coulon;<=mountain;4;;<=mountain;<=mountain;hygrophilous;;;hygrophilous;dry habitat eurytopic;dry;dry-habitats-eurytopic;19;;;swamps, meadows;openland;openland;openland-not.brachypterous;no risk;safe;5.8;5.8;;<6;p-d;;;;polymorf;;;;;polymorphic;not.brachypterous;Spring;;;;;;;;;;;;;;;;;;;;;;;generalist predator;NA;generalist predators;generalist predators;NA (Nitidulidae, Meligethes sp in one experiment);mixed;NA;;;;;;;;;;;2;;F;;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-stenotopic;;;
;;;GNB;;4763;Carabidae;Carabinae;;Cychrus;Cychrus;(..);attenuatus;attenuatus;;(Fabricius, 1792);Présent;Cy..at;Cyat;cyat;Cychrus attenuatus;;;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;;indifferent;woodland stenotopic;;woodland (stenotopic);woodland (stenotopic);;;;woodland stenotopic;woodland;woodland-brachypterous;rare;suspectible;14;14;;>11,9;constantly brachypterous;NA;NA;NA;brachypter;;;;brachypterous;brachypterous;brachypterous;Summer-Autumn;NA;NA;NA;NA;;NA;;autumn;autumn;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;France, in the field : small gray slugs, even in winter, when temperature is milder...;NA;;;carnivorous;NA;;;;;;;;;entirely european;;;;;;;;;;;;;forest;forest-stenotopic;eurytopic;eurytopic;;;
;;;GNB;;4766;Carabidae;Carabinae;;Cychrus;Cychrus;(..);caraboides;caraboides;;(Linnaeus, 1758);Présent;Cy..ca;Cyca;cyca;Cychrus caraboides;;;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;;indifferent;woodland stenotopic;;woodland (stenotopic);woodland (stenotopic);;;;woodland stenotopic;woodland;woodland-brachypterous;no risk;safe;16.3;16.3;;>11,9;constantly brachypterous;apterous or brachipterous;NA; apterous or brachypterous;brachypter;;;;brachypterous;brachypterous;brachypterous;Summer-Autumn;autumn;autumn/winter;NA;autumn;;NA;;autumn;autumn;adult and larvae or only larvae;adult and larvae or only larvae;NA;imago;;nocturnal;nocturnal;NA;mainly nocturnal;NA;NA;two years;2 years;generalist predator;carnivorous;generalist predators;NA;predator (snail);predator (snails);NA;;;carnivorous;NA;;;;;;;;;entirely european;;;;;;;;;;;;;forest;forest-stenotopic;eurytopic;eurytopic;;;
83;;;;V;4926;Carabidae;Harpalinae;;Diachromus;Diachromus;(..);germanus;germanus;;(Linnaeus, 1758);Présent;Di..ge;Dige;dige;Diachromus germanus;;yes;;<=mountain;;;<=mountain;<=mountain;indifferent;;;indifferent;woodland-stenotopic;;woodland-eurytopic. oligotrophic standing water;3,6;;;;woodland-stenotopic;woodland-stenotopic;;vulnerable;suspectible;9;9;;9;m;;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;partially phtophagous (adult);phytophagous;NA;;;;;AL;;;;;;;;A;;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-eurytopic;;;
122;;;;V;5012;Carabidae;Dryptinae;;Drypta (Drypta);Drypta;(Drypta);dentata;dentata;;(P. Rossi, 1790);Présent;DrDrde;Drde;drde;Drypta (Drypta) dentata;;yes;;<=mountain;;;<=mountain;<=mountain;hygrophilous;;;hygrophilous;chalk grasslands, stony slopes and other xerothermic habitats;;rudeal sites and arable land;;;;;openland;openland;;extinct in FL;insufficiently known;;8;;8;;;;;macropter;;;;;macropter;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;generalist predators;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;open-habitat;open-eurytopic;xerophilous;xerophilous-eurytopic;;;
26;;FD Orléans;;V;5568;Carabidae;Scaritinae;;Dyschiriodes (Eudyschirius);Dyschiriodes;(Eudyschirius);globosus;globosus;;(Herbst, 1783);Présent;DyEugl;Dygl;dygl;Dyschiriodes (Eudyschirius) globosus;;yes;BN det sent to J. coulon;<= hill ;;;<= hill ;<= hill ;hygrophilous;;;hygrophilous;moist habitat eurytopic;;moist habitats-eurytopic;20;;;swamps, rivers;generalist;generalist;openland-not.brachypterous;no risk;safe;2.4;2.4;;<6;b-d;;;;dimorf;;;;;polymorphic;not.brachypterous;Spring;;;;;;;;;;;;;;;;;;;;;;;generalist predator;carnivorous;generalist predators;generalist predators;predator (rove beetles);predator (Staphylinidae);NA;;;;;;;;;;;;;A;;"dans desender ""Dyschirius globusus""";;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-eurytopic;;;
29;;;;V;5635;Carabidae;Trechinae;;Epaphius;Epaphius;(..);secalis;secalis;;(Paykull, 1790);Présent;Ep..se;Epse;epse;Epaphius secalis;;no;BN det validated by J. coulon;<=mountain;-3;;<=mountain;<=mountain;hygrophilous;;;hygrophilous;peat, heatland;;heathland and bogs;11;;;;peat, heatland;peat, heatland;;rare;suspectible;3.5;3.5;;3.5;b;;;;brachypter;;;;;brachypter;;Summer-Autumn;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;SL;;*;2;;;-4;-3;A;;"dans desender ""Trechus secalis""";;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-eurytopic;;;
90;;;GNB;V;5754;Carabidae;Harpalinae;;Harpalus (Harpalus);Harpalus;(Harpalus);affinis;affinis;;(Schrank, 1781);Présent;HaHaaf;Haaf;haaf;Harpalus (Harpalus) affinis;;yes;validated by J. Coulon;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;xerophilous;xerophilous;dry habitat eurytopic;dry;other dry habitats (eurytopic);NA;;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;NA;10.2;;6-11,9;NA;macropterous;macropterous;macropterous;macropter;;;;NA;macropterous;not.brachypterous;NA;spring;spring/summer;spring breeder;spring/autumn;;spring;;NA;spring/autumn;adult and larvae or only larvae;adult and larvae or only larvae;imago and larvae;NA;;nocturnal;nocturnal;nocturnal;mainly nocturnal;plastic;NA;one year;1 year;mostly plant material;NA;mostly plant;phytophagous or mixed;mixed diet;mixed but with a preference in carnivorous;polyphagous;;;mostly phytophagous;late spring;;;;;;;;;NA;;;;;;;remarque pour le genre;;;;;;open-habitat;open-eurytopic;eurytopic;eurytopic;;;
;;;GNB;;5761;Carabidae;Harpalinae;;Harpalus (Harpalus);Harpalus;(Harpalus);atratus;atratus;;Latreille, 1804;Présent;HaHaat;Haat;haat;Harpalus (Harpalus) atratus;;;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;xerophilous;xerophilous;chalk grasslands, stony slopes and other xerothermic habitats;dry;calc grasslands, stony slopes and other xerothermic habitats and dry grasslands;stony slopes and chalck grasslands;;;;openland;openland;openland-not.brachypterous;extinct in FL;;12;11.8;;6-11,9;dimorphic;NA;NA;NA;dimorf;;;;NA;polymorphic;not.brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;NA;;NA;NA;NA;mainly nocturnal;NA;NA;NA;NA;NA;NA;NA;NA;NA;Europe, in the field : seeds and fruit of shrubby trees. France, in the field : seeds and berries of shrubby trees;polyphagous;;;mostly phytophagous;NA;;;;;;;;;paleartic;;;;;;;;;;;;;;;;;;;
91;;;;V;5775;Carabidae;Harpalinae;;Harpalus (Harpalus);Harpalus;(Harpalus);cupreus;cupreus;;Dejean, 1829;Présent;HaHacu;Hacu;hacu;Harpalus (Harpalus) cupreus;;yes;;<= hill ;;;<= hill ;<= hill ;indifferent;;;indifferent;;;NA;;;;;;;;NA;;;12.3;;12.3;;;;;macropter;;;;;macropter;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;polyphagous;;;;;;;;;;;;;;;;;;;;;;;;;;open-habitat;open-eurytopic;hygrophilous;hygrophilous-eurytopic;;;
92;;;;V;5781;Carabidae;Harpalinae;;Harpalus (Harpalus);Harpalus;(Harpalus);dimidiatus;dimidiatus;;(P. Rossi, 1790);Présent;HaHadi;Hadm;hadm;Harpalus (Harpalus) dimidiatus;;yes;;<= hill ;-3;;<= hill ;<= hill ;thermophilous;;;xerophilous;chalk grasslands, stony slopes and other xerothermic habitats;;calc grasslandss, stony slopes and other xerothermic habitats;18;;;;openland;openland;;extinct in FL;extinct in the wild;12.5;12.5;;12.5;m;;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;phytophagous;phytophagous;polyphagous;;;;;;*;;;;;-2;-3;A;;;;;;;;;;;;;open-habitat;open-eurytopic;xerophilous;xerophilous;;;
93;;;GNB;V;5782;Carabidae;Harpalinae;;Harpalus (Harpalus);Harpalus;(Harpalus);distinguendus;distinguendus;;(Duftschmid, 1812);Présent;HaHadi;Hadt;hadt;Harpalus (Harpalus) distinguendus;;yes;;<=mountain;3;;lowland-mountain;lowland-alpine;indifferent;;xerophilous;hygrophilous;eutrophic standing water;moist;eutrophic standing water and rudeal sites and arable land;eutrophic riparian habitats and ruderal habitats and cultivated fields;;;;generalist;generalist;generalist-not.brachypterous;no risk;suspectible;9.6;9.6;;6-11,9;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;larvae;;NA;NA;NA;mainly diurnal;NA;NA;NA;NA;NA;NA;NA;NA;predator (snail);mixed;polyphagous;;;carnivorous;NA;;;;;;;4;3;paleartic;;;;;;;;;;;;;open-habitat;open-stenotopic;eurytopic;eurytopic;;;
96;;;GNB;;5799;Carabidae;Harpalinae;;Harpalus (Harpalus);Harpalus;(Harpalus);laevipes;laevipes;;Zetterstedt, 1828;Présent;HaHala;Hala;halae;Harpalus (Harpalus) laevipes;Harpalus quadripunctatus (Dejean 1829);;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;;indifferent;woodland stenotopic;;woodland (stenotopic);woodland (stenotopic);;;;woodland stenotopic;woodland;woodland-not.brachypterous;critically endangered;critically endangered;10,8;10.8;;6-11,9;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;mainly autumn;NA;NA;NA;autumn/spring;;autumn;;NA;spring/autumn;NA;NA;NA;larvae/imago;;NA;NA;NA;mainly nocturnal;NA;NA;NA;NA;NA;NA;NA;NA;phytophagous;NA;polyphagous;;;mostly phytophagous;NA;;;;;;;;;paleartic;;;;;;;;;;;;;forest;forest-stenotopic;eurytopic;eurytopic;;;
94;Fmontargis;FD Orléans;GNB;V;5801;Carabidae;Harpalinae;;Harpalus (Harpalus);Harpalus;(Harpalus);latus;latus;;(Linnaeus, 1758);Présent;HaHala;Hala;hala;Harpalus (Harpalus) latus;;yes;validated by J. Coulon;<=subalpine;;;lowland-alpine;lowland-alpine;indifferent;;indifferent;xerophilous;dry habitat eurytopic;dry;other dry habitats (eurytopic);different dry habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;9.5;9.5;;6-11,9;constantly macropterous;macropterous;macropterous;macropterous;macropter;;;;macropterous;macropterous;not.brachypterous;Summer-Autumn;summer;spring/summer;summer breeder;spring/autumn;;spring;;autumn;spring/autumn;adult;adult;imago and larvae;larvae/imago;;nocturnal;nocturnal;diurnal;NA;NA;NA;one year;1 year;mostly plant material;phytophagous;mostly plant;phytophagous or mixed;NA;phytophagous ;polyphagous;;;mostly phytophagous;late spring;;;;;;;;;paleartic;;;;;;;;;;;;;open-habitat;open-eurytopic;eurytopic;eurytopic;;;
95;Fmontargis;;GNB;V;5804;Carabidae;Harpalinae;;Harpalus (Harpalus);Harpalus;(Harpalus);luteicornis;luteicornis;;(Duftschmid, 1812);Présent;HaHalu;Halu;halu;Harpalus (Harpalus) luteicornis;;yes;validated by J. Coulon;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;xerophilous;xerophilous;dry habitat eurytopic;dry;other dry habitats (eurytopic);different dry habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;indeterminate;suspectible;6.8;6.8;;6-11,9;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;NA;NA;NA;Spring;;NA;;NA;spring;NA;NA;NA;larvae;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;see observations;;;mostly phytophagous;NA;;;;;;;;;entirely european;;;;;;;Harpaline Genera : spermophagous;;;;;;eurytopic;eurytopic;xerophilous;xerophilous-eurytopic;;;
97;Fmontargis;;GNB;V;5832;Carabidae;Harpalinae;;Harpalus (Harpalus);Harpalus;(Harpalus);rubripes;rubripes;;(Duftschmid, 1812);Présent;HaHaru;Haru;haru;Harpalus (Harpalus) rubripes;;yes;;<=subalpine;;;lowland-alpine;lowland-alpine;indifferent;;xerophilous;xerophilous;dry habitat eurytopic;dry;other dry habitats (eurytopic);different dry habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;9.5;9.5;;6-11,9;constantly macropterous;NA;macropterous;NA;macropter;;;;NA;macropterous;not.brachypterous;mainly Autumn;NA;NA;summer breeder;autumn/spring;;NA;;NA;spring/autumn;NA;NA;imago and larvae;larvae/imago;;NA;NA;both diurnal/nocturnal;mainly nocturnal;NA;NA;NA;NA;NA;NA;NA;phytophagous or mixed;NA;mixed (pupae in Great Britain - granivorous in Italy);polyphagous;;;mostly phytophagous;early spring;AL;*;;;;;;;paleartic;;;;;;;;;;;;;eurytopic;eurytopic;xerophilous;xerophilous-eurytopic;;;
;FMontargis;;;;5837;Carabidae;Harpalinae;;Harpalus (Harpalus);Harpalus;(Harpalus);rufipalpis;rufipalpis;;Sturm, 1818;Présent;;Haru;harf;Harpalus (Harpalus) rufipalpis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;phytophagous or mixed;NA;NA;polyphagous;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;Fmontargis;;;V;5856;Carabidae;Harpalinae;;Harpalus (Harpalus);Harpalus;(Harpalus);tardus;tardus;;(Panzer, 1797);Présent;HaHata;Hata;hata;Harpalus (Harpalus) tardus;;yes;;<= hill ;;;<= hill ;<= hill ;indifferent;;;indifferent;dry-habitat-eurytopic;;dry habitats-eurytopic;19;;;;dry-habitat-eurytopic;dry-habitat-eurytopic;;no risk;safe;9.7;9.7;;9.7;m;;;;macropter;;;;;macropter;;mainly Spring;;;;;;;;;;;;;;;;;;;;;;;NA;phytophagous;NA;phytophagous or mixed;phytophagous;NA;polyphagous;;;;;Z+ZL;;;;;;;4;A;;;;;;;;;;;;;eurytopic;eurytopic;xerophilous;xerophilous-eurytopic;;;
;FMontargis;;;;?;?;?;?;?;?;?;?;?;?;?;;??;??;;Lebia chlorocephala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA (ectoparasit of Chrysomelidae in larval stage);Carnivorous (Chrysomelidae);NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;;GNB;V;6065;Carabidae;Nebriinae;;Leistus (Leistus);Leistus;(Leistus);ferrugineus;ferrugineus;;(Linnaeus, 1758);Présent;LeLefe;Lefe;lefe;Leistus (Leistus) ferrugineus;;no;;<=subalpine;3;;lowland-alpine;lowland-alpine;hygrophilous;;indifferent;indifferent;dry habitat eurytopic;dry;other dry habitats (eurytopic);different dry habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;6.3;6.3;;6-11,9;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Summer-Autumn;NA;NA;NA;autumn;;NA;;NA;autumn;NA;NA;NA;imago;;NA;NA;NA;mainly nocturnal;NA;NA;NA;NA;NA;carnivorous;NA;NA;NA;NA;NA;;;carnivorous;NA;Z+ZL;;;;;;3;2;euro-caucasian;;;;;;;;;;;collembola;;eurytopic;eurytopic;eurytopic;eurytopic;;;
