"","abat","abov","abpa","amae","amlu","amov","amsi","amti","assp","babu","caau","cacr","cacv","cait","cane","capr","cavi","clfo","dygl","hala","lema","lias","lopi","mela","nebr","nobi","noru","plde","plli","pocu","ptma","ptme","ptni","ptob","ptst","syvi","index","plot","Ptrap","Nper_plot.Ptrap"
"55-4_PN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55-4_PN","55-4","PN",2
"55-4_PS",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55-4_PS","55-4","PS",3
"55-4_PW",2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55-4_PW","55-4","PW",4
"61-3_PE",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"61-3_PE","61-3","PE",5
"61-3_PN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61-3_PN","61-3","PN",2
"61-3_PS",4,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"61-3_PS","61-3","PS",3
"61-3_PW",2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61-3_PW","61-3","PW",3
"61-4_PE",1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"61-4_PE","61-4","PE",5
"61-4_PN",4,0,2,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61-4_PN","61-4","PN",5
"61-4_PS",4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"61-4_PS","61-4","PS",5
"61-4_PW",2,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61-4_PW","61-4","PW",5
"75-4_PE",11,1,7,0,0,0,0,0,0,0,0,0,0,1,8,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,"75-4_PE","75-4","PE",4
"75-4_PN",10,1,7,0,0,0,0,0,0,0,0,0,1,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"75-4_PN","75-4","PN",6
"75-4_PS",19,5,20,0,0,0,0,0,0,0,1,0,0,1,12,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"75-4_PS","75-4","PS",6
"75-4_PW",7,0,4,0,0,0,0,0,0,0,0,0,1,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"75-4_PW","75-4","PW",3
