plot_Ptrap_per;plot_Ptrap;plot;Ptrap;period;Perturbation;selection
219-1_PS_2;219-1_PS;219-1;PS;2;OK;1
219-1_PW_2;219-1_PW;219-1;PW;2;OK;1
219-4_PE_2;219-4_PE;219-4;PE;2;OK;1
219-4_PN_2;219-4_PN;219-4;PN;2;OK;1
219-4_PS_2;219-4_PS;219-4;PS;2;OK;1
219-4_PW_2;219-4_PW;219-4;PW;2;OK;1
245-2_PE_2;245-2_PE;245-2;PE;2;OK;1
245-2_PN_2;245-2_PN;245-2;PN;2;OK;1
245-2_PS_2;245-2_PS;245-2;PS;2;OK;1
245-2_PW_2;245-2_PW;245-2;PW;2;OK;1
255-1_PE_2;255-1_PE;255-1;PE;2;?;1
255-1_PN_2;255-1_PN;255-1;PN;2;?;1
255-1_PS_2;255-1_PS;255-1;PS;2;?;1
255-1_PW_2;255-1_PW;255-1;PW;2;?;1
14-1_PE_3;14-1_PE;14-janv;PE;3;OK;1
14-1_PN_3;14-1_PN;14-janv;PN;3;OK;1
14-1_PS_3;14-1_PS;14-janv;PS;3;OK;1
14-1_PW_3;14-1_PW;14-janv;PW;3;T;1
14-2_PE_3;14-2_PE;14-févr;PE;3;P;0
14-2_PN_3;14-2_PN;14-févr;PN;3;HS;0
14-2_PS_3;14-2_PS;14-févr;PS;3;OK;1
14-2_PW_3;14-2_PW;14-févr;PW;3;OK;1
15-2_PE_3;15-2_PE;15-févr;PE;3;T;1
15-2_PN_3;15-2_PN;15-févr;PN;3;OK;1
15-2_PS_3;15-2_PS;15-févr;PS;3;OK;1
15-2_PW_3;15-2_PW;15-févr;PW;3;T;1
45-4_PE_3;45-4_PE;45-4;PE;3;HS;0
45-4_PN_3;45-4_PN;45-4;PN;3;T;1
45-4_PS_3;45-4_PS;45-4;PS;3;T;1
45-4_PW_3;45-4_PW;45-4;PW;3;OK;1
50-3_PE_3;50-3_PE;50-3;PE;3;OK;1
50-3_PN_3;50-3_PN;50-3;PN;3;OK;1
50-3_PS_3;50-3_PS;50-3;PS;3;OK;1
50-3_PW_3;50-3_PW;50-3;PW;3;OK;1
55-4_PE_3;55-4_PE;55-4;PE;3;OK;1
55-4_PN_3;55-4_PN;55-4;PN;3;T;1
55-4_PS_3;55-4_PS;55-4;PS;3;HS;0
55-4_PW_3;55-4_PW;55-4;PW;3;T;1
61-3_PE_3;61-3_PE;61-3;PE;3;OK;1
61-3_PN_3;61-3_PN;61-3;PN;3;OK;1
61-3_PS_3;61-3_PS;61-3;PS;3;OK;1
61-3_PW_3;61-3_PW;61-3;PW;3;T;1
61-4_PE_3;61-4_PE;61-4;PE;3;OK;1
61-4_PN_3;61-4_PN;61-4;PN;3;OK;1
61-4_PS_3;61-4_PS;61-4;PS;3;OK;1
61-4_PW_3;61-4_PW;61-4;PW;3;OK;1
75-4_PE_3;75-4_PE;75-4;PE;3;OK;1
75-4_PN_3;75-4_PN;75-4;PN;3;P;1
75-4_PS_3;75-4_PS;75-4;PS;3;OK;1
75-4_PW_3;75-4_PW;75-4;PW;3;OK;1
110-4_PE_3;110-4_PE;110-4;PE;3;OK;1
110-4_PN_3;110-4_PN;110-4;PN;3;OK;1
110-4_PS_3;110-4_PS;110-4;PS;3;OK;1
110-4_PW_3;110-4_PW;110-4;PW;3;OK;1
111-1_PE_3;111-1_PE;111-1;PE;3;OK;1
111-1_PN_3;111-1_PN;111-1;PN;3;OK;1
111-1_PS_3;111-1_PS;111-1;PS;3;OK;1
111-1_PW_3;111-1_PW;111-1;PW;3;OK;1
111-3_PE_3;111-3_PE;111-3;PE;3;OK;1
111-3_PN_3;111-3_PN;111-3;PN;3;OK;1
111-3_PS_3;111-3_PS;111-3;PS;3;OK;1
111-3_PW_3;111-3_PW;111-3;PW;3;OK;1
125-3_PE_3;125-3_PE;125-3;PE;3;OK;1
125-3_PN_3;125-3_PN;125-3;PN;3;OK;1
125-3_PS_3;125-3_PS;125-3;PS;3;OK;1
125-3_PW_3;125-3_PW;125-3;PW;3;OK;1
139-2_PE_3;139-2_PE;139-2;PE;3;T;1
139-2_PN_3;139-2_PN;139-2;PN;3;OK;1
139-2_PS_3;139-2_PS;139-2;PS;3;OK;1
139-2_PW_3;139-2_PW;139-2;PW;3;OK;1
139-4_PE_3;139-4_PE;139-4;PE;3;OK;1
139-4_PN_3;139-4_PN;139-4;PN;3;T;1
139-4_PS_3;139-4_PS;139-4;PS;3;OK;1
139-4_PW_3;139-4_PW;139-4;PW;3;T;1
144-3_PE_3;144-3_PE;144-3;PE;3;OK;1
144-3_PN_3;144-3_PN;144-3;PN;3;S;0
144-3_PS_3;144-3_PS;144-3;PS;3;T;1
144-3_PW_3;144-3_PW;144-3;PW;3;T;1
166-2_PE_3;166-2_PE;166-2;PE;3;OK;1
166-2_PN_3;166-2_PN;166-2;PN;3;OK;1
166-2_PS_3;166-2_PS;166-2;PS;3;OK;1
166-2_PW_3;166-2_PW;166-2;PW;3;OK;1
166-4_PE_3;166-4_PE;166-4;PE;3;OK;1
166-4_PN_3;166-4_PN;166-4;PN;3;OK;1
166-4_PS_3;166-4_PS;166-4;PS;3;OK;1
166-4_PW_3;166-4_PW;166-4;PW;3;OK;1
215-2_PE_3;215-2_PE;215-2;PE;3;OK;1
215-2_PN_3;215-2_PN;215-2;PN;3;OK;1
215-2_PS_3;215-2_PS;215-2;PS;3;OK;1
215-2_PW_3;215-2_PW;215-2;PW;3;OK;1
215-3_PE_3;215-3_PE;215-3;PE;3;Ok;1
215-3_PN_3;215-3_PN;215-3;PN;3;Ok;1
215-3_PS_3;215-3_PS;215-3;PS;3;Ok;1
215-3_PW_3;215-3_PW;215-3;PW;3;Ok;1
216-4_PE_3;216-4_PE;216-4;PE;3;Ok;1
216-4_PN_3;216-4_PN;216-4;PN;3;Ok;1
216-4_PS_3;216-4_PS;216-4;PS;3;Ok;1
216-4_PW_3;216-4_PW;216-4;PW;3;Ok;1
219-1_PE_3;219-1_PE;219-1;PE;3;Ok;1
219-1_PN_3;219-1_PN;219-1;PN;3;P;1
219-1_PS_3;219-1_PS;219-1;PS;3;OK;1
219-1_PW_3;219-1_PW;219-1;PW;3;Ok;1
219-4_PE_3;219-4_PE;219-4;PE;3;Ok;1
219-4_PN_3;219-4_PN;219-4;PN;3;Ok;1
219-4_PS_3;219-4_PS;219-4;PS;3;OK;1
219-4_PW_3;219-4_PW;219-4;PW;3;Ok;1
245-2_PE_3;245-2_PE;245-2;PE;3;Ok;1
245-2_PN_3;245-2_PN;245-2;PN;3;Ok;1
245-2_PS_3;245-2_PS;245-2;PS;3;Ok;1
245-2_PW_3;245-2_PW;245-2;PW;3;Ok;1
255-1_PE_3;255-1_PE;255-1;PE;3;OK;1
255-1_PN_3;255-1_PN;255-1;PN;3;OK;1
255-1_PS_3;255-1_PS;255-1;PS;3;T;1
255-1_PW_3;255-1_PW;255-1;PW;3;OK;1
14-1_PE_4;14-1_PE;14-janv;PE;4;OK;1
14-1_PN_4;14-1_PN;14-janv;PN;4;OK;1
14-1_PS_4;14-1_PS;14-janv;PS;4;OK;1
14-1_PW_4;14-1_PW;14-janv;PW;4;OK;1
14-2_PE_4;14-2_PE;14-févr;PE;4;HS;0
14-2_PN_4;14-2_PN;14-févr;PN;4;OK;1
14-2_PS_4;14-2_PS;14-févr;PS;4;OK;1
14-2_PW_4;14-2_PW;14-févr;PW;4;OK;1
15-2_PE_4;15-2_PE;15-févr;PE;4;HS;0
15-2_PN_4;15-2_PN;15-févr;PN;4;HS;0
15-2_PS_4;15-2_PS;15-févr;PS;4;OK;1
15-2_PW_4;15-2_PW;15-févr;PW;4;T;1
45-4_PE_4;45-4_PE;45-4;PE;4;HS;0
45-4_PN_4;45-4_PN;45-4;PN;4;HS;0
45-4_PS_4;45-4_PS;45-4;PS;4;HS;0
45-4_PW_4;45-4_PW;45-4;PW;4;OK;1
50-3_PE_4;50-3_PE;50-3;PE;4;T;1
50-3_PN_4;50-3_PN;50-3;PN;4;OK;1
50-3_PS_4;50-3_PS;50-3;PS;4;HS;0
50-3_PW_4;50-3_PW;50-3;PW;4;TB;1
55-4_PE_4;55-4_PE;55-4;PE;4;T-P;0
55-4_PN_4;55-4_PN;55-4;PN;4;OK;1
55-4_PS_4;55-4_PS;55-4;PS;4;OK;1
55-4_PW_4;55-4_PW;55-4;PW;4;T;1
61-3_PE_4;61-3_PE;61-3;PE;4;OK;1
61-3_PN_4;61-3_PN;61-3;PN;4;OK;1
61-3_PS_4;61-3_PS;61-3;PS;4;T;1
61-3_PW_4;61-3_PW;61-3;PW;4;HS;0
61-4_PE_4;61-4_PE;61-4;PE;4;OK;1
61-4_PN_4;61-4_PN;61-4;PN;4;OK;1
61-4_PS_4;61-4_PS;61-4;PS;4;OK;1
61-4_PW_4;61-4_PW;61-4;PW;4;OK;1
75-4_PE_4;75-4_PE;75-4;PE;4;HS;0
75-4_PN_4;75-4_PN;75-4;PN;4;OK;1
75-4_PS_4;75-4_PS;75-4;PS;4;OK;1
75-4_PW_4;75-4_PW;75-4;PW;4;OK;1
110-4_PE_4;110-4_PE;110-4;PE;4;HS;0
110-4_PN_4;110-4_PN;110-4;PN;4;HS;0
110-4_PS_4;110-4_PS;110-4;PS;4;HS;0
110-4_PW_4;110-4_PW;110-4;PW;4;HS;0
111-1_PE_4;111-1_PE;111-1;PE;4;OK;1
111-1_PN_4;111-1_PN;111-1;PN;4;OK;1
111-1_PS_4;111-1_PS;111-1;PS;4;OK;1
111-1_PW_4;111-1_PW;111-1;PW;4;HS;0
111-3_PE_4;111-3_PE;111-3;PE;4;OK;1
111-3_PN_4;111-3_PN;111-3;PN;4;OK;1
111-3_PS_4;111-3_PS;111-3;PS;4;OK;1
111-3_PW_4;111-3_PW;111-3;PW;4;OK;1
125-3_PE_4;125-3_PE;125-3;PE;4;Ok;1
125-3_PN_4;125-3_PN;125-3;PN;4;T;1
125-3_PS_4;125-3_PS;125-3;PS;4;OK;1
125-3_PW_4;125-3_PW;125-3;PW;4;OK;1
139-2_PE_4;139-2_PE;139-2;PE;4;Ok;1
