parcelle;nichoir;n nichoir;plot;cercle;nichoir-cercle;Ptrap;plot_Ptrap;MEL_cercle;MEL_cercle_cat;MEL;Mel_cat;Hmoy;BOULV;CHAR;CHAT;CHP;CHS;CHSP;CH_tot;AUB;GEN;NEF;POM;PS;TREM;G_Ch_PS;ALT;latitude;longitude;nichoir selec polytrap;veg1;taux_veg1;veg2;taux_veg2;hmax;hinter;hmin;hmoy;hsd
139;1392;2;139-2;E;1392-E;PE;139-2_PE;0;PS_pur_c;2;PS_pur;20.5;0;0;0;0;0;0;0;0;0;0;0;32.4;0;32.4;0;47.8;2.5;1;FA;60;MOL;40;21.3;20.9;20.9;21;0.2
139;1392;2;139-2;N;1392-N;PN;139-2_PN;4;PS_pur_c;2;PS_pur;20.5;1.6;0;0;0.7;0;0;0.7;0;0;0;0;15.3;0;16;0;47.8;2.5;1;FA;75;MOL;25;19.7;19.6;19.3;19.5;0.2
139;1392;2;139-2;S;1392-S;PS;139-2_PS;0;PS_pur_c;2;PS_pur;20.5;0.7;0;0;0;0;0;0;0;0;0;0;23.9;0;23.9;0;47.8;2.5;1;FA;75;MOL;25;21.4;21.1;20.3;20.9;0.6
139;1392;2;139-2;W;1392-W;PW;139-2_PW;0;PS_pur_c;2;PS_pur;20.5;0;0;0;0;0;0;0;0;0;0;0;19.7;0;19.7;0;47.8;2.5;1;FA;60;MOL;40;20.8;20.5;20.1;20.5;0.4
139;1394;4;139-4;E;1394-E;PE;139-4_PE;0;PS_pur_c;2;PS_pur;19.6;0;0;0;0;0;0;0;0;0;0;0;22.7;0;22.7;0;47.8;2.5;1;FA;60;MOL;40;20.9;20.4;19.9;20.4;0.5
139;1394;4;139-4;N;1394-N;PN;139-4_PN;10;PS_dom_c;2;PS_pur;19.6;0;0;0;0;1.9;0;1.9;0;0;0;0;17;0;18.9;0;47.8;2.5;1;MOL;50;FA;50;20.8;20.5;19.8;20.4;0.5
139;1394;4;139-4;S;1394-S;PS;139-4_PS;4;PS_pur_c;2;PS_pur;19.6;0.7;0;0;0.7;0;0;0.7;0;0;0;0;16.9;0;17.6;0;47.8;2.5;1;MOL;50;FA;50;19.4;19.3;19;19.2;0.2
139;1394;4;139-4;W;1394-W;PW;139-4_PW;0;PS_pur_c;2;PS_pur;19.6;0;0;0;0;0;0;0;0;0;0;0;11.5;0;11.5;0;47.8;2.5;1;FA;60;MOL;40;18.8;18.5;18.4;18.6;0.2
144;1443;3;144-3;E;1443-E;PE;144-3_PE;0;PS_pur_c;23;PS_dom;21.5;0;0;0;0;0;0;0;0;0;0;0;17;0;17;0;47.8;2.5;1;FA;80;NA;NA;20.2;20.1;19.9;20.1;0.2
144;1443;3;144-3;N;1443-N;PN;144-3_PN;0;PS_pur_c;23;PS_dom;21.5;2.3;0;0;0;0;0;0;0;0;0;0;17.2;0;17.2;0;47.8;2.5;1;FA;100;NA;NA;21.8;21.8;21.3;21.6;0.3
144;1443;3;144-3;S;1443-S;PS;144-3_PS;0;PS_pur_c;23;PS_dom;21.5;0;0;0;0;0;0;0;0;0;0;0;13.5;0;13.5;0;47.8;2.5;1;FA;80;NA;NA;21.6;21.4;21.3;21.4;0.2
144;1443;3;144-3;W;1443-W;PW;144-3_PW;0;PS_pur_c;23;PS_dom;21.5;8.9;0;0;0;0;0;0;0;0;0;0;31;0;31;0;47.8;2.5;1;NA;NA;NA;NA;23;22.5;22.5;22.7;0.3
166;1662;2;166-2;E;1662-E;PE;166-2_PE;69;MEL_c;66;MEL;25.1;3.8;0;0;0;7.6;0;7.6;0;0;0;0;3.4;0;11;0;47.8;2.5;1;FA;90;MOL;10;26.2;26.1;25.4;25.9;0.4
